Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
290;19600166402;"Coffee Science";journal;"18096875";"Editora UFLA";Yes;No;0,217;Q3;22;40;128;1675;112;128;0,81;41,88;47,50;0;8;Brazil;Latin America;"Editora UFLA";"2009-2025";"Food Science (Q3); Plant Science (Q4); Soil Science (Q4)";"Agricultural and Biological Sciences"
291;21100865012;"Economia Agro-Alimentare";journal;"19724802, 11261668";"FrancoAngeli";Yes;No;0,217;Q3;13;25;83;1315;79;72;0,73;52,60;60,00;0;17;Italy;Western Europe;"FrancoAngeli";"2012-2024";"Cultural Studies (Q2); Agricultural and Biological Sciences (miscellaneous) (Q3); Agronomy and Crop Science (Q3); Food Animals (Q3); Food Science (Q3); Geography, Planning and Development (Q3); Social Sciences (miscellaneous) (Q3); Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4); Management, Monitoring, Policy and Law (Q4)";"Agricultural and Biological Sciences; Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science; Social Sciences; Veterinary"
292;19700201518;"Engineering in Agriculture, Environment and Food";journal;"18818366";"";Yes;No;0,217;Q3;31;8;36;303;31;36;0,90;37,88;18,52;0;2;Netherlands;Western Europe;"";"2008-2024";"Chemical Engineering (miscellaneous) (Q3); Food Science (Q3); Industrial and Manufacturing Engineering (Q3)";"Agricultural and Biological Sciences; Chemical Engineering; Engineering"
293;21100246538;"Potravinarstvo Slovak Journal of Food Sciences";journal;"13370960, 13380230";"HACCP Consulting";Yes;Yes;0,216;Q3;24;66;247;3720;314;247;1,32;56,36;64,79;0;17;Slovakia;Eastern Europe;"HACCP Consulting";"2013-2024";"Food Science (Q3)";"Agricultural and Biological Sciences"
294;21101192678;"Animal Science and Genetics";journal;"27206076";"Polish Society of Animal Production";Yes;No;0,215;Q3;3;24;57;703;47;57;0,82;29,29;51,43;0;4;Poland;Eastern Europe;"Polish Society of Animal Production";"2022-2024";"Animal Science and Zoology (Q3); Food Science (Q3); Ecology, Evolution, Behavior and Systematics (Q4); Genetics (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
295;21101089145;"Ukrainian Food Journal";journal;"2304974X, 23135891";"National University of Food Technologies";Yes;Yes;0,215;Q3;11;45;130;1982;133;127;0,85;44,04;63,64;0;8;Ukraine;Eastern Europe;"National University of Food Technologies";"2019-2024";"Food Science (Q3); Biochemistry (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
296;21100201021;"Food Protection Trends";journal;"15419576";"International Association for Food Protection";Yes;No;0,211;Q3;21;31;104;1288;72;101;0,69;41,55;63,83;0;13;United States;Northern America;"International Association for Food Protection";"2011-2025";"Food Science (Q3); Public Health, Environmental and Occupational Health (Q4)";"Agricultural and Biological Sciences; Medicine"
297;21100232211;"Nestle Nutrition Institute Workshop Series";journal;"16642155, 16642147";"S. Karger AG";No;No;0,211;Q3;43;45;32;1162;19;28;0,59;25,82;50,00;0;21;Switzerland;Western Europe;"S. Karger AG";"2011-2020, 2022-2024";"Food Science (Q3); Pediatrics, Perinatology and Child Health (Q3); Medicine (miscellaneous) (Q4); Nutrition and Dietetics (Q4)";"Agricultural and Biological Sciences; Medicine; Nursing"
298;98776;"Journal of Applied Botany and Food Quality";journal;"1439040X, 16139216";"Julius Kuhn-Institut Federal Research Center for Cultivated Plants";Yes;No;0,210;Q3;48;18;68;872;74;68;0,83;48,44;45,37;0;7;Germany;Western Europe;"Julius Kuhn-Institut Federal Research Center for Cultivated Plants";"2004-2024";"Food Science (Q3); Plant Science (Q4)";"Agricultural and Biological Sciences"
299;5700165156;"Journal of Food and Nutrition Research";journal;"13368672";"Food Reseach Institute";No;No;0,210;Q3;34;37;121;1169;85;120;0,60;31,59;60,90;0;2;Slovakia;Eastern Europe;"Food Reseach Institute";"2006-2024";"Food Science (Q3); Nutrition and Dietetics (Q4)";"Agricultural and Biological Sciences; Nursing"
300;5600152802;"Journal of Food Science Education";journal;"15414329";"Wiley-Blackwell";No;No;0,210;Q3;19;0;28;0;28;20;0,00;0,00;0,00;0;0;United States;Northern America;"Wiley-Blackwell";"2007-2021";"Food Science (Q3); Education (Q4)";"Agricultural and Biological Sciences; Social Sciences"
301;21101163290;"Global Food History";journal;"20549555, 20549547";"Taylor and Francis Ltd.";No;No;0,207;Q3;5;32;50;1960;36;39;0,79;61,25;63,33;0;5;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2019-2025";"History (Q1); Food Science (Q3)";"Agricultural and Biological Sciences; Arts and Humanities"
302;21100798596;"Revista Facultad Nacional de Agronomia Medellin";journal;"03042847, 22487026";"Universidad Nacional de Colombia";Yes;Yes;0,207;Q3;15;38;166;1198;125;150;0,62;31,53;37,50;0;11;Colombia;Latin America;"Universidad Nacional de Colombia";"2016-2025";"Agricultural and Biological Sciences (miscellaneous) (Q3); Agronomy and Crop Science (Q3); Food Science (Q3); Forestry (Q3); Horticulture (Q3); Animal Science and Zoology (Q4)";"Agricultural and Biological Sciences"
303;21101042008;"Food Science and Technology (United States)";journal;"2331513X, 23315156";"Horizon Research Publishing";No;No;0,204;Q3;6;24;42;950;36;42;0,85;39,58;48,48;0;6;United States;Northern America;"Horizon Research Publishing";"2019-2025";"Food Science (Q3); Biochemistry (Q4); Nutrition and Dietetics (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Nursing"
304;21101062490;"Arabian Journal of Medicinal and Aromatic Plants";journal;"24585920";"Moroccan Institute of Scientific and Technical Information";Yes;Yes;0,203;Q3;8;9;81;360;72;81;0,98;40,00;36,73;0;3;Morocco;Africa;"Moroccan Institute of Scientific and Technical Information";"2019-2024";"Complementary and Alternative Medicine (Q3); Food Science (Q3); Analytical Chemistry (Q4); Pharmacology (Q4); Plant Science (Q4); Public Health, Environmental and Occupational Health (Q4)";"Agricultural and Biological Sciences; Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
305;21100205971;"Pakistan Journal of Agricultural Sciences";journal;"20760906, 05529034";"Pakistan Association of Advancement in Agricultural Sciences";Yes;No;0,203;Q3;33;94;400;4490;321;400;0,73;47,77;26,92;0;41;Pakistan;Asiatic Region;"Pakistan Association of Advancement in Agricultural Sciences";"2011-2024";"Agronomy and Crop Science (Q3); Food Science (Q3); Plant Science (Q4); Soil Science (Q4)";"Agricultural and Biological Sciences"
306;21100854128;"Shipin Kexue/Food Science";journal;"10026630";"Chinese Chamber of Commerce";Yes;No;0,202;Q3;18;958;3240;48351;3288;3240;1,05;50,47;47,31;0;101;China;Asiatic Region;"Chinese Chamber of Commerce";"2016, 2018, 2020-2025";"Food Science (Q3)";"Agricultural and Biological Sciences"
307;21100197902;"Carpathian Journal of Food Science and Technology";journal;"20666845";"North University of Baia Mare";Yes;Yes;0,201;Q3;13;67;212;2971;161;212;0,79;44,34;41,04;0;11;Romania;Eastern Europe;"North University of Baia Mare";"2009-2024";"Food Science (Q3)";"Agricultural and Biological Sciences"
308;20100195029;"Revista Espanola de Nutricion Humana y Dietetica";journal;"21731292, 21745145";"Ediciones Doyma, S.L.";Yes;Yes;0,199;Q3;15;35;162;962;76;136;0,34;27,49;66,39;0;18;Spain;Western Europe;"Ediciones Doyma, S.L.";"2011-2024";"Food Science (Q3); Nutrition and Dietetics (Q4)";"Agricultural and Biological Sciences; Nursing"
309;21101032141;"Journal of Tea Science";journal;"1000369X";"Editorial Office of Journal of Tea science";No;No;0,198;Q4;12;79;222;3106;225;222;1,14;39,32;47,86;0;18;China;Asiatic Region;"Editorial Office of Journal of Tea science";"2019-2024";"Agricultural and Biological Sciences (miscellaneous) (Q3); Food Science (Q4); Insect Science (Q4); Plant Science (Q4)";"Agricultural and Biological Sciences"
310;19700188356;"Journal of Excipients and Food Chemicals";journal;"21502668";"International Pharmaceutical Excipients Council (IPEC)";Yes;Yes;0,197;Q4;18;10;32;242;24;21;0,62;24,20;27,27;0;1;United States;Northern America;"International Pharmaceutical Excipients Council (IPEC)";"2010-2024";"Pharmaceutical Science (Q3); Food Science (Q4)";"Agricultural and Biological Sciences; Pharmacology, Toxicology and Pharmaceutics"
311;19900191980;"Korean Journal of Food Science and Technology";journal;"03676293";"Tong Kwahak Hoe";Yes;No;0,196;Q4;24;106;288;3804;201;287;0,66;35,89;57,79;0;17;South Korea;Asiatic Region;"Tong Kwahak Hoe";"2007-2024";"Applied Microbiology and Biotechnology (Q4); Biotechnology (Q4); Food Science (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
312;144783;"Fruits";journal;"1625967X, 02481294";"EDP Sciences";No;No;0,195;Q4;40;18;75;804;50;75;0,55;44,67;28,81;0;3;France;Western Europe;"EDP Sciences";"1995, 2001-2024";"Agronomy and Crop Science (Q4); Food Science (Q4); Horticulture (Q4)";"Agricultural and Biological Sciences"
313;21101208677;"North African Journal of Food and Nutrition Research";journal;"25881582";"Laboratoire de Nutrition, Pathologie, Agro-biotechnologie et Sante (LAB-NUPABS)";No;No;0,195;Q4;4;40;74;1707;54;73;0,68;42,68;58,06;0;13;Algeria;Africa;"Laboratoire de Nutrition, Pathologie, Agro-biotechnologie et Sante (LAB-NUPABS)";"2021-2025";"Agricultural and Biological Sciences (miscellaneous) (Q3); Food Science (Q4); Nutrition and Dietetics (Q4)";"Agricultural and Biological Sciences; Nursing"
314;27995;"Progress in Nutrition";journal;"11298723";"Mattioli 1885";No;No;0,195;Q4;24;26;452;930;275;450;0,58;35,77;55,46;0;10;Italy;Western Europe;"Mattioli 1885";"2002-2024";"Food Science (Q4); Nutrition and Dietetics (Q4)";"Agricultural and Biological Sciences; Nursing"
315;13300154707;"International Journal of Postharvest Technology and Innovation";journal;"17447550, 17447569";"Inderscience Enterprises Ltd";No;No;0,194;Q4;15;10;28;450;20;28;0,73;45,00;53,13;0;3;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2006, 2008-2017, 2019-2024";"Agronomy and Crop Science (Q4); Food Science (Q4)";"Agricultural and Biological Sciences"
316;23139;"Zuckerindustrie";journal;"03448657";"Verlag Dr. Albert Bartens KG";No;No;0,194;Q4;21;42;174;680;27;136;0,11;16,19;21,50;0;17;Germany;Western Europe;"Verlag Dr. Albert Bartens KG";"1977-1985, 1987-1989, 1996-2013, 2017-2025";"Food Science (Q4)";"Agricultural and Biological Sciences"
317;21100935800;"Indonesian Journal of Biotechnology";journal;"20892241, 08538654";"Universitas Gadjah Mada, Research Center for Biotechnology";Yes;No;0,191;Q4;7;27;81;1025;86;81;1,00;37,96;48,96;0;13;Indonesia;Asiatic Region;"Universitas Gadjah Mada, Research Center for Biotechnology";"2018-2024";"Agricultural and Biological Sciences (miscellaneous) (Q3); Biotechnology (Q4); Environmental Science (miscellaneous) (Q4); Food Science (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science"
318;21100815304;"African Journal of Food, Agriculture, Nutrition and Development";journal;"16845358, 16845374";"African Scholarly Science Communications Trust (ASSCAT)";Yes;No;0,190;Q4;21;173;402;5710;306;402;0,66;33,01;38,70;0;127;Kenya;Africa;"African Scholarly Science Communications Trust (ASSCAT)";"2016-2025";"Agricultural and Biological Sciences (miscellaneous) (Q3); Development (Q4); Food Science (Q4)";"Agricultural and Biological Sciences; Social Sciences"
319;21100927900;"Journal of Food Distribution Research";journal;"26433354";"Food Distribution Research Society";Yes;No;0,190;Q4;6;14;60;554;33;59;0,53;39,57;41,07;0;7;United States;Northern America;"Food Distribution Research Society";"2019-2024";"Agronomy and Crop Science (Q4); Economics and Econometrics (Q4); Food Science (Q4); Management Science and Operations Research (Q4); Marketing (Q4)";"Agricultural and Biological Sciences; Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
320;21101061439;"Asian Journal of Dairy and Food Research";journal;"09760563, 09714456";"Agricultural Research Communication Centre";No;No;0,189;Q4;8;119;258;3501;157;258;0,55;29,42;38,70;0;20;India;Asiatic Region;"Agricultural Research Communication Centre";"2019-2024";"Veterinary (miscellaneous) (Q3); Animal Science and Zoology (Q4); Food Science (Q4)";"Agricultural and Biological Sciences; Veterinary"
321;4700152285;"Revista Chilena de Nutricion";journal;"07177518, 07161549";"Sociedad Chilena de Nutricion Bromatologia y Toxilogica";Yes;Yes;0,189;Q4;23;50;257;1890;165;225;0,51;37,80;76,41;0;29;Chile;Latin America;"Sociedad Chilena de Nutricion Bromatologia y Toxilogica";"1981-1983, 2006-2024";"Food Science (Q4); Nutrition and Dietetics (Q4)";"Agricultural and Biological Sciences; Nursing"
322;21100933991;"Italus Hortus";journal;"11273496";"Societa di Ortoflorofrutticoltura Italiana";Yes;Yes;0,188;Q4;8;18;58;763;38;55;0,69;42,39;43,28;0;9;Italy;Western Europe;"Societa di Ortoflorofrutticoltura Italiana";"2018-2024";"Food Science (Q4); Horticulture (Q4); Plant Science (Q4)";"Agricultural and Biological Sciences"
323;21100204508;"INMATEH - Agricultural Engineering";journal;"20684215, 20682239";"INMA Bucharest";Yes;No;0,186;Q4;18;223;540;5602;423;540;0,74;25,12;30,96;0;59;Romania;Eastern Europe;"INMA Bucharest";"2012-2024";"Industrial and Manufacturing Engineering (Q3); Food Science (Q4); Mechanical Engineering (Q4)";"Agricultural and Biological Sciences; Engineering"
324;19700187701;"Indian Journal of Natural Products and Resources";journal;"09760512, 09760504";"National Institute of Science Communication and Information Resources (NISCAIR)";Yes;Yes;0,185;Q4;41;47;195;2730;165;195;0,71;58,09;46,84;0;23;India;Asiatic Region;"National Institute of Science Communication and Information Resources (NISCAIR)";"2006-2024";"Agronomy and Crop Science (Q4); Food Science (Q4); Plant Science (Q4)";"Agricultural and Biological Sciences"
325;21101028196;"Journal of Research and Innovation in Food Science and Technology";journal;"22520937, 25382357";"Research Institute of Food Science and Technology";Yes;No;0,185;Q4;6;32;91;1377;55;91;0,45;43,03;47,92;0;4;Iran;Middle East;"Research Institute of Food Science and Technology";"2019-2024";"Food Science (Q4)";"Agricultural and Biological Sciences"
326;9100153107;"Malaysian Journal of Nutrition";journal;"1394035X";"Persatuan Pemakanan Malaysia";No;No;0,183;Q4;37;37;117;1067;77;117;0,43;28,84;59,80;0;19;Malaysia;Asiatic Region;"Persatuan Pemakanan Malaysia";"1995-2002, 2004-2025";"Food Science (Q4); Nutrition and Dietetics (Q4)";"Agricultural and Biological Sciences; Nursing"
327;21101021753;"Online Journal of Animal and Feed Research";journal;"22287701";"Scienceline Publication";No;No;0,183;Q4;6;46;147;1731;108;147;0,82;37,63;39,88;0;12;Turkey;Middle East;"Scienceline Publication";"2019-2024";"Veterinary (miscellaneous) (Q3); Animal Science and Zoology (Q4); Ecology (Q4); Food Science (Q4)";"Agricultural and Biological Sciences; Environmental Science; Veterinary"
328;21101048515;"Revista Iberoamericana de Viticultura Agroindustria y Ruralidad";journal;"07194994";"Institute of Advanced Studies, University of Santiago de Chile";Yes;Yes;0,182;Q4;8;45;136;1087;77;136;0,58;24,16;47,14;0;27;Chile;Latin America;"Institute of Advanced Studies, University of Santiago de Chile";"2019-2025";"Cultural Studies (Q2); History (Q2); Archeology (Q3); Economics, Econometrics and Finance (miscellaneous) (Q3); Agronomy and Crop Science (Q4); Food Science (Q4); Horticulture (Q4)";"Agricultural and Biological Sciences; Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
329;21100198208;"Engineering for Rural Development";conference and proceedings;"16915976, 16913043";"Latvia University of Life Sciences and Technologies";No;No;0,182;-;20;156;558;2976;295;555;0,60;19,08;35,47;0;91;Latvia;Eastern Europe;"Latvia University of Life Sciences and Technologies";"2011-2024";"Agricultural and Biological Sciences (miscellaneous); Automotive Engineering; Chemical Engineering (miscellaneous); Energy (miscellaneous); Food Science; Industrial and Manufacturing Engineering";"Agricultural and Biological Sciences; Chemical Engineering; Energy; Engineering"
330;21100846923;"Journal of Food Science and Biotechnology";journal;"16731689";"";No;No;0,181;Q4;8;151;454;5158;358;454;0,85;34,16;48,69;0;26;China;Asiatic Region;"";"2017-2024";"Biotechnology (Q4); Food Science (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
331;21100936374;"Agronomia Mesoamericana";journal;"22153608";"Universidad de Costa Rica";Yes;Yes;0,180;Q4;9;75;236;3341;142;236;0,59;44,55;30,67;0;42;Costa Rica;Latin America;"Universidad de Costa Rica";"2019-2024";"Agronomy and Crop Science (Q4); Food Science (Q4); Soil Science (Q4)";"Agricultural and Biological Sciences"
332;21100373285;"Nova Biotechnologica et Chimica";journal;"1339004X, 13386905";"SciCell s.r.o.";Yes;Yes;0,175;Q4;14;8;63;394;36;63;0,48;49,25;43,59;0;4;Germany;Western Europe;"SciCell s.r.o.";"2012-2024";"Analytical Chemistry (Q4); Biotechnology (Q4); Food Science (Q4); Health, Toxicology and Mutagenesis (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Environmental Science"
333;21101237951;"Iranian Food Science and Technology Research Journal";journal;"22285415, 17354161";"Ferdowsi University of Mashhad";Yes;No;0,173;Q4;6;54;202;2040;84;202;0,36;37,78;37,90;0;15;Iran;Middle East;"Ferdowsi University of Mashhad";"2020-2025";"Food Science (Q4)";"Agricultural and Biological Sciences"
334;21101241603;"Food and Machinery";journal;"10035788";"Editorial Department of Food & Machinery, shipin yu jixie";Yes;No;0,171;Q4;10;391;1308;11413;937;1308;0,77;29,19;42,52;0;40;China;Asiatic Region;"Editorial Department of Food & Machinery, shipin yu jixie";"2020-2024";"Food Science (Q4); Mechanical Engineering (Q4)";"Agricultural and Biological Sciences; Engineering"
335;21101101865;"Theory and Practice of Meat Processing";journal;"2414438X, 2414441X";"V.M. Gorbatov Federal Research Center for Food Systems of the Russian Academy of Sciences";Yes;Yes;0,171;Q4;8;36;113;1847;86;113;0,71;51,31;50,41;0;10;Russian Federation;Eastern Europe;"V.M. Gorbatov Federal Research Center for Food Systems of the Russian Academy of Sciences";"2019-2024";"Animal Science and Zoology (Q4); Food Science (Q4)";"Agricultural and Biological Sciences"
336;21100967042;"Uludag Aricilik Dergisi";journal;"13030248, 26875594";"Bursa Uludag University";Yes;No;0,171;Q4;8;28;75;1661;53;74;0,54;59,32;55,07;0;7;Turkey;Middle East;"Bursa Uludag University";"2019-2024";"Ecology, Evolution, Behavior and Systematics (Q4); Food Science (Q4); Insect Science (Q4)";"Agricultural and Biological Sciences"
337;21101028329;"Food Processing: Techniques and Technology";journal;"20749414, 23131748";"Kemerovo State University";Yes;No;0,170;Q4;9;68;225;2840;195;225;0,88;41,76;58,08;0;12;Russian Federation;Eastern Europe;"Kemerovo State University";"2019-2024";"Economics, Econometrics and Finance (miscellaneous) (Q4); Food Science (Q4); Industrial and Manufacturing Engineering (Q4)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Engineering"
338;21343;"Nippon Shokuhin Kagaku Kogaku Kaishi";journal;"1341027X";"Japanese Society for Food Science and Technology";No;No;0,170;Q4;26;53;192;1206;41;183;0,22;22,75;25,76;0;6;Japan;Asiatic Region;"Japanese Society for Food Science and Technology";"1995-2025";"Food Science (Q4)";"Agricultural and Biological Sciences"
339;19700176902;"BrewingScience";journal;"18665195, 16132041";"Fachverlag Hans Carl";No;No;0,168;Q4;21;17;52;997;26;49;0,61;58,65;41,33;0;4;Germany;Western Europe;"Fachverlag Hans Carl";"2007-2024";"Applied Microbiology and Biotechnology (Q4); Biotechnology (Q4); Food Science (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
340;21100218054;"Bulletin of the Transilvania University of Brasov, Series II: Forestry, Wood Industry, Agricultural Food Engineering";journal;"20652135";"Transilvania University Press";No;No;0,167;Q4;11;23;98;936;58;98;0,62;40,70;40,91;0;10;Romania;Eastern Europe;"Transilvania University Press";"2012-2024";"Agronomy and Crop Science (Q4); Food Science (Q4); Forestry (Q4)";"Agricultural and Biological Sciences"
341;58246;"Outlooks on Pest Management";journal;"14658933, 17431026";"Research Information Ltd";No;No;0,166;Q4;29;0;34;0;12;21;0,00;0,00;0,00;0;0;United Kingdom;Western Europe;"Research Information Ltd";"2004-2021";"Agronomy and Crop Science (Q4); Biotechnology (Q4); Food Science (Q4); Insect Science (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
342;21101211211;"Asian Journal of Agriculture";journal;"25804537";"Smujo International";No;No;0,165;Q4;5;20;40;914;35;40;0,79;45,70;46,67;0;8;Indonesia;Asiatic Region;"Smujo International";"2020-2025";"Agricultural and Biological Sciences (miscellaneous) (Q4); Agronomy and Crop Science (Q4); Ecology, Evolution, Behavior and Systematics (Q4); Food Science (Q4)";"Agricultural and Biological Sciences"
343;21100239240;"Journal of Chinese Institute of Food Science and Technology";journal;"10097848";"zhong guo shi pin xue bao bian ji bu";No;No;0,165;Q4;16;528;1522;22373;1100;1522;0,71;42,37;46,81;0;64;China;Asiatic Region;"zhong guo shi pin xue bao bian ji bu";"2013-2024";"Food Science (Q4)";"Agricultural and Biological Sciences"
344;21101064339;"Journal of Food Legumes";journal;"09762434, 09706380";"Indian Society of Pulses Research and Development (ISPRD)";No;No;0,165;Q4;5;82;124;2159;49;118;0,46;26,33;30,18;0;21;India;Asiatic Region;"Indian Society of Pulses Research and Development (ISPRD)";"2019-2024";"Food Science (Q4); Horticulture (Q4); Plant Science (Q4); Soil Science (Q4)";"Agricultural and Biological Sciences"
345;21100795624;"Voprosy Detskoi Dietologii";journal;"24149519, 17275784";"Dynasty Publishing House";No;No;0,165;Q4;9;50;171;2340;113;170;0,68;46,80;73,25;0;17;Russian Federation;Eastern Europe;"Dynasty Publishing House";"2016-2024";"Pediatrics, Perinatology and Child Health (Q3); Food Science (Q4); Nutrition and Dietetics (Q4)";"Agricultural and Biological Sciences; Medicine; Nursing"
346;21101088417;"Science and Technology of Food Industry";journal;"10020306";"";Yes;No;0,163;Q4;14;1108;4036;47368;2843;4036;0,75;42,75;48,18;0;119;China;Asiatic Region;"";"2019-2025";"Food Science (Q4)";"Agricultural and Biological Sciences"
347;15588;"Agrochimica";journal;"00021857";"Pisa University Press";No;No;0,162;Q4;22;0;66;0;44;63;0,67;0,00;0,00;0;0;Italy;Western Europe;"Pisa University Press";"1973, 1981, 1983-1984, 1986-1989, 1993-2023";"Agronomy and Crop Science (Q4); Food Science (Q4); Soil Science (Q4)";"Agricultural and Biological Sciences"
348;21101152126;"Food and Fermentation Industries";journal;"0253990X";"China National Research Institute of Food and Fermentation Industries Co. Ltd";No;No;0,162;Q4;13;1194;3219;40175;2194;3219;0,70;33,65;45,75;0;129;China;Asiatic Region;"China National Research Institute of Food and Fermentation Industries Co. Ltd";"2019-2025";"Applied Microbiology and Biotechnology (Q4); Food Science (Q4)";"Agricultural and Biological Sciences; Immunology and Microbiology"
349;21101047908;"Journal of Food Chemistry and Nanotechnology";journal;"24714291";"United Scientific Group";No;No;0,162;Q4;13;45;117;1900;72;117;0,51;42,22;47,33;0;10;United States;Northern America;"United Scientific Group";"2015-2024";"Food Science (Q4)";"Agricultural and Biological Sciences"
350;21101132408;"Kufa Journal for Agricultural Sciences";journal;"23128186, 20727798";"University of Kufa";Yes;No;0,161;Q4;2;50;37;1399;22;37;0,59;27,98;21,74;0;9;Iraq;Middle East;"University of Kufa";"2022-2024";"Agricultural and Biological Sciences (miscellaneous) (Q4); Food Science (Q4); Horticulture (Q4); Soil Science (Q4)";"Agricultural and Biological Sciences"
351;35948;"Journal of the Zhejiang University - Agriculture and Life Science";journal;"10089209";"Zhejiang Daxue";No;No;0,160;Q4;13;82;181;4021;100;180;0,53;49,04;40,05;1;22;China;Asiatic Region;"Zhejiang Daxue";"2001-2006, 2019-2024";"Agricultural and Biological Sciences (miscellaneous) (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4); Food Science (Q4); Veterinary (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science; Veterinary"
352;21101192685;"Indonesian Food Science and Technology Journal";journal;"2615367X";"Jambi University";Yes;No;0,159;Q4;4;31;39;1182;23;39;0,67;38,13;55,56;0;4;Indonesia;Asiatic Region;"Jambi University";"2019-2024";"Chemistry (miscellaneous) (Q4); Engineering (miscellaneous) (Q4); Food Science (Q4); Safety, Risk, Reliability and Quality (Q4)";"Agricultural and Biological Sciences; Chemistry; Engineering"
353;21101048989;"Journal of Food Science and Technology (Iran)";journal;"20088787";"Tarbiat Modares University";Yes;No;0,159;Q4;8;187;744;6969;301;744;0,41;37,27;41,49;0;18;Iran;Middle East;"Tarbiat Modares University";"2019-2025";"Food Science (Q4)";"Agricultural and Biological Sciences"
354;21101054300;"Journal of Nutrition and Food Security";journal;"24767425, 24767417";"Shahid Sadoughi University of Medical Sciences";Yes;Yes;0,159;Q4;12;77;185;2898;75;180;0,40;37,64;47,21;0;40;Iran;Middle East;"Shahid Sadoughi University of Medical Sciences";"2016-2024";"Food Science (Q4); Medicine (miscellaneous) (Q4); Nutrition and Dietetics (Q4); Public Health, Environmental and Occupational Health (Q4)";"Agricultural and Biological Sciences; Medicine; Nursing"
355;21101189301;"Proceedings of the International Food Operations and Processing Simulation Workshop, FOODOPS";conference and proceedings;"27240355";"Cal-Tek srl";No;No;0,159;-;2;17;10;503;12;9;1,20;29,59;43,90;0;10;Italy;Western Europe;"Cal-Tek srl";"2023-2024";"Biotechnology; Food Science";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
356;21100239236;"Journal of the Chinese Cereals and Oils Association";journal;"10030174";"Editorial Department, Chinese Cereals and Oils Association";No;No;0,157;Q4;14;306;1118;10716;675;1118;0,62;35,02;43,96;0;24;China;Asiatic Region;"Editorial Department, Chinese Cereals and Oils Association";"2013-2024";"Food Science (Q4)";"Agricultural and Biological Sciences"
357;21100935101;"Food Engineering Progress";journal;"22881247, 12264768";"Korean Society for Food Engineering";No;No;0,156;Q4;6;25;140;958;52;140;0,37;38,32;48,89;0;5;South Korea;Asiatic Region;"Korean Society for Food Engineering";"2019-2024";"Food Science (Q4)";"Agricultural and Biological Sciences"
358;21101055928;"Meat Technology";journal;"24664812, 25604295";"Institute of Meat Hygiene and Technology";Yes;Yes;0,156;Q4;8;16;152;488;63;151;0,44;30,50;60,00;0;2;Serbia;Eastern Europe;"Institute of Meat Hygiene and Technology";"2019-2024";"Applied Microbiology and Biotechnology (Q4); Food Animals (Q4); Food Science (Q4)";"Agricultural and Biological Sciences; Immunology and Microbiology; Veterinary"
359;21101097038;"Animal Production Research";journal;"22520872, 25386107";"University of Guilan";Yes;Yes;0,154;Q4;3;21;99;953;34;99;0,38;45,38;9,52;0;7;Iran;Middle East;"University of Guilan";"2020-2024";"Animal Science and Zoology (Q4); Food Science (Q4); Veterinary (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Veterinary"
360;21101090011;"Akademik Gida";journal;"2148015X, 13047582";"Sidas Medya A.S.";No;No;0,150;Q4;8;33;131;1397;68;131;0,44;42,33;45,98;0;2;Turkey;Middle East;"Sidas Medya A.S.";"2019-2024";"Food Science (Q4)";"Agricultural and Biological Sciences"
361;21100239243;"Modern Food Science and Technology";journal;"16739078";"Gai Kan Bianjibu";No;No;0,150;Q4;14;486;1436;17548;776;1436;0,52;36,11;47,32;0;46;China;Asiatic Region;"Gai Kan Bianjibu";"2013-2024";"Food Science (Q4)";"Agricultural and Biological Sciences"
